file    labels
silence/1.wav   silence
silence/2.wav   silence
silence/3.wav   silence
silence/4.wav   silence
silence/5.wav   silence
silence/6.wav   silence
silence/7.wav   silence
silence/8.wav   silence
silence/9.wav   silence
silence/10.wav  silence
silence/11.wav  silence
silence/12.wav  silence
silence/13.wav  silence
silence/14.wav  silence
silence/15.wav  silence
silence/16.wav  silence
silence/17.wav  silence
silence/18.wav  silence
silence/19.wav  silence
silence/20.wav  silence
silence/21.wav  silence
silence/22.wav  silence
silence/23.wav  silence
silence/24.wav  silence
silence/25.wav  silence
silence/26.wav  silence
silence/27.wav  silence
silence/28.wav  silence
silence/29.wav  silence
silence/30.wav  silence
silence/31.wav  silence
silence/32.wav  silence
silence/33.wav  silence
silence/34.wav  silence
silence/35.wav  silence
silence/36.wav  silence
silence/37.wav  silence
silence/38.wav  silence
silence/39.wav  silence
silence/40.wav  silence
silence/41.wav  silence
silence/42.wav  silence
silence/43.wav  silence
silence/44.wav  silence
silence/45.wav  silence
silence/46.wav  silence
silence/47.wav  silence
silence/48.wav  silence
silence/49.wav  silence
silence/50.wav  silence
speach/51.wav   speach
speach/52.wav   speach
speach/53.wav   speach
speach/54.wav   speach
speach/55.wav   speach
speach/56.wav   speach
speach/57.wav   speach
speach/58.wav   speach
speach/59.wav   speach
speach/60.wav  speach
speach/61.wav  speach
speach/62.wav  speach
speach/63.wav  speach
speach/64.wav  speach
speach/65.wav  speach
speach/66.wav  speach
speach/67.wav  speach
speach/68.wav  speach
speach/69.wav  speach
speach/70.wav  speach
speach/71.wav  speach
speach/72.wav  speach
speach/73.wav  speach
speach/74.wav  speach
speach/75.wav  speach
speach/76.wav  speach
speach/77.wav  speach
speach/78.wav  speach
speach/79.wav  speach
speach/80.wav  speach
speach/81.wav  speach
speach/82.wav  speach
speach/83.wav  speach
speach/84.wav  speach
speach/85.wav  speach
speach/86.wav  speach
speach/87.wav  speach
speach/88.wav  speach
speach/89.wav  speach
speach/90.wav  speach
speach/91.wav  speach
speach/92.wav  speach
speach/93.wav  speach
speach/94.wav  speach
speach/95.wav  speach
speach/96.wav  speach
speach/97.wav  speach
speach/98.wav  speach
speach/99.wav  speach
speach/100.wav  speach
machine/101.wav   machine
machine/102.wav   machine
machine/103.wav   machine
machine/104.wav   machine
machine/105.wav   machine
machine/106.wav   machine
machine/107.wav   machine
machine/108.wav   machine
machine/109.wav   machine
machine/110.wav  machine
machine/111.wav  machine
machine/112.wav  machine
machine/113.wav  machine
machine/114.wav  machine
machine/115.wav  machine
machine/116.wav  machine
machine/117.wav  machine
machine/118.wav  machine
machine/119.wav  machine
machine/120.wav  machine
machine/121.wav  machine
machine/122.wav  machine
machine/123.wav  machine
machine/124.wav  machine
machine/125.wav  machine
machine/126.wav  machine
machine/127.wav  machine
machine/128.wav  machine
machine/129.wav  machine
machine/130.wav  machine
machine/131.wav  machine
machine/132.wav  machine
machine/133.wav  machine
machine/134.wav  machine
machine/135.wav  machine
machine/136.wav  machine
machine/137.wav  machine
machine/138.wav  machine
machine/139.wav  machine
machine/140.wav  machine
machine/141.wav  machine
machine/142.wav  machine
machine/143.wav  machine
machine/144.wav  machine
machine/145.wav  machine
machine/146.wav  machine
machine/147.wav  machine
machine/148.wav  machine
machine/149.wav  machine
machine/150.wav  machine
machine_speach/151.wav   machine,speach
machine_speach/152.wav   machine,speach
machine_speach/153.wav   machine,speach
machine_speach/154.wav   machine,speach
machine_speach/155.wav   machine,speach
machine_speach/156.wav   machine,speach
machine_speach/157.wav   machine,speach
machine_speach/158.wav   machine,speach
machine_speach/159.wav   machine,speach
machine_speach/160.wav  machine,speach
machine_speach/161.wav  machine,speach
machine_speach/162.wav  machine,speach
machine_speach/163.wav  machine,speach
machine_speach/164.wav  machine,speach
machine_speach/165.wav  machine,speach
machine_speach/166.wav  machine,speach
machine_speach/167.wav  machine,speach
machine_speach/168.wav  machine,speach
machine_speach/169.wav  machine,speach
machine_speach/170.wav  machine,speach
machine_speach/171.wav  machine,speach
machine_speach/172.wav  machine,speach
machine_speach/173.wav  machine,speach
machine_speach/174.wav  machine,speach
machine_speach/175.wav  machine,speach
machine_speach/176.wav  machine,speach
machine_speach/177.wav  machine,speach
machine_speach/178.wav  machine,speach
machine_speach/179.wav  machine,speach
machine_speach/180.wav  machine,speach
machine_speach/181.wav  machine,speach
machine_speach/182.wav  machine,speach
machine_speach/183.wav  machine,speach
machine_speach/184.wav  machine,speach
machine_speach/185.wav  machine,speach
machine_speach/186.wav  machine,speach
machine_speach/187.wav  machine,speach
machine_speach/188.wav  machine,speach
machine_speach/189.wav  machine,speach
machine_speach/190.wav  machine,speach
machine_speach/191.wav  machine,speach
machine_speach/192.wav  machine,speach
machine_speach/193.wav  machine,speach
machine_speach/194.wav  machine,speach
machine_speach/195.wav  machine,speach
machine_speach/196.wav  machine,speach
machine_speach/197.wav  machine,speach
machine_speach/198.wav  machine,speach
machine_speach/199.wav  machine,speach
machine_speach/200.wav  machine,speach
